browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,,,,,,,,,,
Firefox,116,MacOS,en-CA,2023-08-16_19:11:08,2023-08-16_15:11:08,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av20,554.024,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
111,test,O,word,m,3p2_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,174798,timeout,2992,0
112,test,S,word,m,3p3_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,177798,timeout,2992,0
113,test,K,word,m,3p4_2C,1000,waitResponseWindow,3000,m,,,329;1000,19,16.63,178127,m,320,1
114,test,C,word,m,3p5_2,1000,waitResponseWindow,3000,m,,,1000,60;60,16.67,183798,timeout,2990,0
115,test,A,word,m,3p6_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,186799,timeout,2988,0
116,test,P,word,m,3p7_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,189799,timeout,2986,0
117,test,C,word,m,3p8_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,192798,timeout,2985,0
118,test,O,word,m,3p9_2,1000,waitResponseWindow,3000,m,,,1001,60,16.68,195799,timeout,2988,0
119,test,K,word,m,3p10_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,198799,timeout,2986,0
120,test,S,word,m,3p11_2,1000,waitResponseWindow,3000,m,,,1001,60,16.68,201799,timeout,2986,0
121,test,B,word,m,3p12_2,1000,waitResponseWindow,3000,m,,,1001,60,16.68,204800,timeout,2988,0
122,test,I,word,m,3p13_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,207801,timeout,2988,0
123,test,S,word,m,3p14_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,210799,timeout,2981,0
124,test,D,word,m,3p15_2,1000,waitResponseWindow,3000,m,,,1001,60,16.68,213800,timeout,2987,0
126,test,,word,,placeholder5,,waitResponseWindow,1500,m,,,,,,225384,timeout,1489,
127,test,E,word,m,2t1_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,228385,timeout,2993,0
128,test,S,word,m,2t2_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,231385,timeout,2992,0
129,test,M,word,m,2t3_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,234384,timeout,2989,0
130,test,A,word,m,2t4_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,237385,timeout,2992,0
131,test,M,word,m,2t5_1C,1000,waitResponseWindow,3000,m,,,999,60,16.65,240385,timeout,2991,0
132,test,I,word,m,2t6_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,243386,timeout,2990,0
133,test,M,word,m,2t7_1C,1000,waitResponseWindow,3000,m,,,350;1000,20,16.67,243735,m,341,1
134,test,C,word,m,2t8_1,1000,waitResponseWindow,3000,m,,,1000,60;60,16.67,249386,timeout,2992,0
135,test,P,word,m,2t9_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,252386,timeout,2988,0
136,test,S,word,m,2t10_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,255386,timeout,2991,0
137,test,P,word,m,2t11_1C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,258387,timeout,2991,0
138,test,S,word,m,2t12_1C,1000,waitResponseWindow,3000,m,,,460;1000,27,16.67,258846,m,451,1
139,test,D,word,m,2t13_1,1000,waitResponseWindow,3000,m,,,1000,60;60,16.66,264387,timeout,2992,0
140,test,I,word,m,2t14_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,267387,timeout,2991,0
141,test,O,word,m,2t15_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,270387,timeout,2994,0
142,test,I,word,m,2t16_1C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,273386,timeout,2990,0
143,test,S,word,m,2t17_1,1000,waitResponseWindow,3000,m,,,1001,60,16.68,276387,timeout,2989,0
144,test,D,word,m,2t18_1,1000,waitResponseWindow,3000,m,,,1000,60,16.66,279387,timeout,2990,0
145,test,B,word,m,2t19_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,282388,timeout,2989,0
