browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",MacOS,en-CA,2023-06-19_19:00:53,2023-06-19_15:00:53,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start,535.713

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"94",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",167763,timeout,2991,"0"
"97",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",170763,timeout,2990,"0"
"100",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","120","8.33",173766,timeout,2993,"0"
"103",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","119","8.41",176763,timeout,2989,"0"
"106",test,P,word,m,3p15_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+2,589;1000,"71","8.28",177351,m,576,"1"
"109",test,"",word,"",placeholder4,"",waitResponseWindow,"1500",m,"","","","","",186413,timeout,1492,""
"110",test,K,word,m,3p1_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",189417,timeout,2993,"0"
"111",test,O,word,m,3p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",192419,timeout,2992,"0"
"112",test,S,word,m,3p3_2,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",195422,timeout,2994,"0"
"113",test,K,word,m,3p4_2C,"1000",waitResponseWindow,"3000",m,"","",507;1000,"60","8.33",195928,m,497,"1"
"114",test,C,word,m,3p5_2,"1000",waitResponseWindow,"3000",m,"","","1004",120;121,"8.32",201417,timeout,2986,"0"
"115",test,A,word,m,3p6_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.29",204422,timeout,2997,"0"
"116",test,P,word,m,3p7_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.29",207425,timeout,2994,"0"
"117",test,C,word,m,3p8_2C,"1000",waitResponseWindow,"3000",m,"","",370;1004,"44","8.34",207794,m,360,"1"
"118",test,O,word,m,3p9_2,"1000",waitResponseWindow,"3000",m,"","","1001",121;120,"8.32",213430,timeout,2992,"0"
"119",test,K,word,m,3p10_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",216426,timeout,2986,"0"
