browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",Windows,en-US,2023-06-09_16:31:18,2023-06-09_18:31:18,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=sabine1,797.256

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"82",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",238269,timeout,2996,"0"
"85",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",241269,timeout,2986,"0"
"88",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",244267,timeout,2985,"0"
"91",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",247267,timeout,2996,"0"
"94",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",248954,m,1682,"1"
"96",test,"",word,m,placeholder3-12,"",waitResponseWindow,"1500",m,"","","","","",252616,timeout,1488,"0"
"97",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",255615,timeout,2995,"0"
"100",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",258615,timeout,2993,"0"
"103",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",261615,timeout,2996,"0"
"106",test,P,word,m,3p15_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+2,791;1000,"47","16.66",262405,m,782,"1"
"109",test,"",word,"",placeholder4,"",waitResponseWindow,"1500",m,"","","","","",276445,timeout,1490,""
"110",test,K,word,m,3p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",279445,timeout,2994,"0"
"111",test,O,word,m,3p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",282443,timeout,2993,"0"
"112",test,S,word,m,3p3_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",285443,timeout,2996,"0"
"113",test,K,word,m,3p4_2C,"1000",waitResponseWindow,"3000",m,"","",318;1000,"19","16.66",285761,m,312,"1"
"114",test,C,word,m,3p5_2,"1000",waitResponseWindow,"3000",m,"","",372;1000,60;22,"16.66",288814,m,365,"1"
"115",test,A,word,m,3p6_2,"1000",waitResponseWindow,"3000",m,"","",391;1000,60;23,"16.66",291832,m,386,"1"
"116",test,P,word,m,3p7_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",295504,m,1058,"1"
"117",test,C,word,m,3p8_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",298905,m,1460,"1"
"118",test,O,word,m,3p9_2,"1000",waitResponseWindow,"3000",m,"","",324;1000,"19","16.66",300764,m,319,"1"
"119",test,K,word,m,3p10_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",304482,m,1038,"1"
"120",test,S,word,m,3p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",307834,m,1389,"1"
"121",test,B,word,m,3p12_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",311116,m,1673,"1"
"122",test,I,word,m,3p13_2,"1000",waitResponseWindow,"3000",m,"","",646;1000,"38","16.66",313084,m,641,"1"
"123",test,S,word,m,3p14_2C,"1000",waitResponseWindow,"3000",m,"","",869;1000,60;52,"16.66",316307,m,865,"1"
"124",test,D,word,m,3p15_2,"1000",waitResponseWindow,"3000",m,"","",670;1000,60;40,"16.66",319107,m,654,"1"
"126",test,"",word,"",placeholder5,"",waitResponseWindow,"1500",m,"","","","","",387260,timeout,1491,""
"127",test,E,word,m,2t1_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",390259,timeout,2985,"0"
"128",test,S,word,m,2t2_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",393258,timeout,2989,"0"
