browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"116.0",MacOS,en-CA,2023-08-22_01:18:10,2023-08-21_21:18:10,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av21,578.285

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"97",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",188607,timeout,2990,"0"
"100",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",191606,timeout,2989,"0"
"103",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1001","60","16.68",194607,timeout,2991,"0"
"106",test,P,word,m,3p15_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+2,412;1000,"24","16.67",195019,m,402,"1"
"109",test,"",word,"",placeholder4,"",waitResponseWindow,"1500",m,"","","","","",208324,timeout,1485,""
"110",test,K,word,m,3p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",211325,timeout,2992,"0"
"111",test,O,word,m,3p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",214325,timeout,2992,"0"
"112",test,S,word,m,3p3_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",217325,timeout,2992,"0"
"113",test,K,word,m,3p4_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",220324,timeout,2990,"0"
"114",test,C,word,m,3p5_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",223325,timeout,2989,"0"
"115",test,A,word,m,3p6_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",226325,timeout,2992,"0"
"116",test,P,word,m,3p7_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",229326,timeout,2991,"0"
"117",test,C,word,m,3p8_2C,"1000",waitResponseWindow,"3000",m,"","",359;1000,"21","16.67",229684,m,350,"1"
"118",test,O,word,m,3p9_2,"1000",waitResponseWindow,"3000",m,"","","1001",60;60,"16.68",235325,timeout,2991,"0"
"119",test,K,word,m,3p10_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",238326,timeout,2992,"0"
"120",test,S,word,m,3p11_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",241326,timeout,2993,"0"
"121",test,B,word,m,3p12_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",244327,timeout,2993,"0"
"122",test,I,word,m,3p13_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",247327,timeout,2991,"0"
"123",test,S,word,m,3p14_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",250327,timeout,2992,"0"
"124",test,D,word,m,3p15_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",253327,timeout,2993,"0"
"126",test,"",word,"",placeholder5,"",waitResponseWindow,"1500",m,"","","","","",266794,timeout,1485,""
"127",test,E,word,m,2t1_1,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",269794,timeout,2988,"0"
"128",test,S,word,m,2t2_1,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",272794,timeout,2992,"0"
"129",test,M,word,m,2t3_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",275795,timeout,2990,"0"
"130",test,A,word,m,2t4_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",278795,timeout,2992,"0"
"131",test,M,word,m,2t5_1C,"1000",waitResponseWindow,"3000",m,"","",353;1000,"21","16.67",279148,m,344,"1"
"132",test,I,word,m,2t6_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.67",284795,timeout,2982,"0"
"133",test,M,word,m,2t7_1C,"1000",waitResponseWindow,"3000",m,"","",404;1001,"23","16.70",285198,m,392,"1"
"134",test,C,word,m,2t8_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.67",290796,timeout,2991,"0"
"135",test,P,word,m,2t9_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",293796,timeout,2989,"0"
"136",test,S,word,m,2t10_1,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",296796,timeout,2989,"0"
"137",test,P,word,m,2t11_1C,"1000",waitResponseWindow,"3000",m,"","",429;1000,"25","16.67",297225,m,420,"1"
"138",test,S,word,m,2t12_1C,"1000",waitResponseWindow,"3000",m,"","",406;1000,60;24,"16.67",300202,m,394,"1"
"139",test,D,word,m,2t13_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.67",305796,timeout,2989,"0"
"140",test,I,word,m,2t14_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",308797,timeout,2992,"0"
"141",test,O,word,m,2t15_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",311797,timeout,2991,"0"
