browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,113.0.1774.50,Windows,en-US,2023-06-09_18:30:19,2023-06-09_12:30:19,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=bob1,905.65

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"85",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",360933,m,1795,"1"
"87",test,"",word,m,placeholder3-9,"",waitResponseWindow,"1500",m,"","","","","",367630,timeout,1479,"0"
"88",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",369055,m,1414,"1"
"90",test,"",word,m,placeholder3-10,"",waitResponseWindow,"1500",m,"","","","","",373329,timeout,1481,"0"
"91",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,578;1000,"33","17.17",373907,m,567,"1"
"93",test,"",word,m,placeholder3-11,"",waitResponseWindow,"1500",m,"","","","","",379378,timeout,1480,"0"
"94",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,821;1000,"49","16.66",380198,m,817,"1"
"96",test,"",word,m,placeholder3-12,"",waitResponseWindow,"1500",m,"","","","","",387010,timeout,1481,"0"
"97",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,660;1000,"39","16.67",387670,m,653,"1"
"99",test,"",word,m,placeholder3-13,"",waitResponseWindow,"1500",m,"","","","","",392526,timeout,1487,"0"
"100",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",393547,m,1017,"1"
"102",test,"",word,m,placeholder3-14,"",waitResponseWindow,"1500",m,"","","","","",397926,timeout,1493,"0"
"103",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,892;1000,"53","16.67",398817,m,887,"1"
"105",test,"",word,m,placeholder3-15,"",waitResponseWindow,"1500",m,"","","","","",403459,timeout,1487,"0"
"106",test,P,word,m,3p15_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+2,573;1000,"34","16.67",404031,m,567,"1"
"109",test,"",word,"",placeholder4,"",waitResponseWindow,"1500",m,"","","","","",450553,timeout,1485,""
"110",test,K,word,m,3p1_2,"1000",waitResponseWindow,"3000",m,"","",456;1000,"27","16.66",451008,m,445,"1"
"111",test,O,word,m,3p2_2,"1000",waitResponseWindow,"3000",m,"","",342;1000,60;20,"16.66",453893,m,338,"1"
"112",test,S,word,m,3p3_2,"1000",waitResponseWindow,"3000",m,"","",288;1000,60;17,"16.66",456839,m,279,"1"
"113",test,K,word,m,3p4_2C,"1000",waitResponseWindow,"3000",m,"","",251;1000,60;14,"16.66",459801,m,246,"1"
"114",test,C,word,m,3p5_2,"1000",waitResponseWindow,"3000",m,"","",195;1000,60;11,"16.67",462745,m,189,"1"
"115",test,A,word,m,3p6_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",466636,m,1083,"1"
"116",test,P,word,m,3p7_2,"1000",waitResponseWindow,"3000",m,"","",284;1000,"16","16.68",468833,m,279,"1"
"117",test,C,word,m,3p8_2C,"1000",waitResponseWindow,"3000",m,"","",334;1000,60;19,"16.67",471883,m,330,"1"
"118",test,O,word,m,3p9_2,"1000",waitResponseWindow,"3000",m,"","",265;1000,60;15,"16.67",474814,m,261,"1"
"119",test,K,word,m,3p10_2,"1000",waitResponseWindow,"3000",m,"","",262;1000,60;15,"16.66",477810,m,259,"1"
"120",test,S,word,m,3p11_2,"1000",waitResponseWindow,"3000",m,"","",462;1000,60;27,"16.66",481009,m,451,"1"
"121",test,B,word,m,3p12_2,"1000",waitResponseWindow,"3000",m,"","",305;1000,60;18,"16.66",483853,m,298,"1"
"122",test,I,word,m,3p13_2,"1000",waitResponseWindow,"3000",m,"","",465;1000,60;27,"16.66",487013,m,462,"1"
"123",test,S,word,m,3p14_2C,"1000",waitResponseWindow,"3000",m,"","",702;1000,60;42,"16.66",490249,m,699,"1"
"124",test,D,word,m,3p15_2,"1000",waitResponseWindow,"3000",m,"","",488;1000,60;29,"16.66",493035,m,484,"1"
"126",test,"",word,"",placeholder5,"",waitResponseWindow,"1500",m,"","","","","",537508,timeout,1477,""
"127",test,E,word,m,2t1_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.67",540508,timeout,2995,"0"
"128",test,S,word,m,2t2_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",543507,timeout,2992,"0"
"129",test,M,word,m,2t3_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",544965,m,1451,"1"
"130",test,A,word,m,2t4_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",548691,m,2181,"1"
"131",test,M,word,m,2t5_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",550606,m,1089,"1"
"132",test,I,word,m,2t6_1,"1000",waitResponseWindow,"3000",m,"","",882;1000,"52","16.67",553388,m,879,"1"
"133",test,M,word,m,2t7_1C,"1000",waitResponseWindow,"3000",m,"","",570;1000,60;34,"16.66",556074,m,565,"1"
