"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"3270","","","","","","","","symmetry-judgement-task","180","428370","1680807738263","0.0-8.0-0.7-1.24","","1",""
"1883","","","","","","","","symmetry-judgement-task","183","431455","1680807741348","0.0-8.0-0.7-1.25","","1",""
"3949","0_4_14_3","0_4_14_3","0:0_1:0_3:2_0:3","","4","","","spatial-span-recall","185","435416","1680807745309","0.0-8.0-1.7","","","4"
"1804","","","","","","","","symmetry-judgement-task","188","440567","1680807750460","0.0-8.0-0.8-1.26","","1",""
"1700","","","","","","","","symmetry-judgement-task","191","443547","1680807753440","0.0-8.0-0.8-1.27","","1",""
"5231","2_10","2_10","0:2_2:2","","2","","","spatial-span-recall","193","448782","1680807758675","0.0-8.0-1.8","","","2"
"2218","","","","","","","","symmetry-judgement-task","196","453392","1680807763285","0.0-8.0-0.9-1.28","","1",""
"1792","","","","","","","","symmetry-judgement-task","199","456383","1680807766276","0.0-8.0-0.9-1.29","","1",""
"1262","","","","","","","","symmetry-judgement-task","202","458854","1680807768747","0.0-8.0-0.9-1.30","","1",""
"1738","","","","","","","","symmetry-judgement-task","205","461787","1680807771680","0.0-8.0-0.9-1.31","","1",""
"1783","","","","","","","","symmetry-judgement-task","208","464777","1680807774670","0.0-8.0-0.9-1.32","","1",""
"6189","2_0_4_5_7","2_0_4_7_11","0:2_0:0_1:0_1:3_2:3","","5","","","spatial-span-recall","210","470976","1680807780869","0.0-8.0-1.9","","","3"
"2173","","","","","","","","symmetry-judgement-task","213","476143","1680807786036","0.0-8.0-0.10-1.33","","1",""
"2008","","","","","","","","symmetry-judgement-task","216","479378","1680807789271","0.0-8.0-0.10-1.34","","1",""
"1257","","","","","","","","symmetry-judgement-task","219","481905","1680807791798","0.0-8.0-0.10-1.35","","1",""
"1358","","","","","","","","symmetry-judgement-task","222","484498","1680807794391","0.0-8.0-0.10-1.36","","1",""
"5206","5_0_15_11","5_0_15_11","1:1_0:0_3:3_2:3","","4","","","spatial-span-recall","224","489708","1680807799601","0.0-8.0-1.10","","","4"
"2396","","","","","","","","symmetry-judgement-task","227","494923","1680807804816","0.0-8.0-0.11-1.37","","1",""
"2680","","","","","","","","symmetry-judgement-task","230","498820","1680807808713","0.0-8.0-0.11-1.38","","1",""
"2774","","","","","","","","symmetry-judgement-task","233","502829","1680807812722","0.0-8.0-0.11-1.39","","1",""
"3659","","","","","","","","symmetry-judgement-task","236","507708","1680807817601","0.0-8.0-0.11-1.40","","1",""
"1623","","","","","","","","symmetry-judgement-task","239","510537","1680807820430","0.0-8.0-0.11-1.41","","1",""
"8022","14_9_4_13_0","14_9_4_13_0","3:2_2:1_1:0_3:1_0:0","","5","","","spatial-span-recall","241","518565","1680807828458","0.0-8.0-1.11","","","5"
