"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"928","","","","","","","","symmetry-judgement-task","166","158407","1681330813694","0.0-8.0-0.6-1.20","","1",""
"997","","","","","","","","symmetry-judgement-task","169","160462","1681330815749","0.0-8.0-0.6-1.21","","1",""
"2845","9_4_10_15_2","9_4_10_15_2","2:1_1:0_2:2_3:3_0:2","","5","","","spatial-span-recall","171","163311","1681330818598","0.0-8.0-1.6","","","5"
"843","","","","","","","","symmetry-judgement-task","174","165774","1681330821061","0.0-8.0-0.7-1.22","","1",""
"800","","","","","","","","symmetry-judgement-task","177","167639","1681330822926","0.0-8.0-0.7-1.23","","1",""
"968","","","","","","","","symmetry-judgement-task","180","169670","1681330824957","0.0-8.0-0.7-1.24","","1",""
"721","","","","","","","","symmetry-judgement-task","183","171455","1681330826742","0.0-8.0-0.7-1.25","","1",""
"3235","6_9_15_2","6_9_15_2","1:2_2:1_3:3_0:2","","4","","","spatial-span-recall","185","174694","1681330829981","0.0-8.0-1.7","","","4"
"911","","","","","","","","symmetry-judgement-task","188","177086","1681330832373","0.0-8.0-0.8-1.26","","1",""
"701","","","","","","","","symmetry-judgement-task","191","178855","1681330834142","0.0-8.0-0.8-1.27","","1",""
"1875","12_1","12_1","3:0_0:1","","2","","","spatial-span-recall","193","180733","1681330836020","0.0-8.0-1.8","","","2"
"913","","","","","","","","symmetry-judgement-task","196","183487","1681330838774","0.0-8.0-0.9-1.28","","1",""
"854","","","","","","","","symmetry-judgement-task","199","185406","1681330840693","0.0-8.0-0.9-1.29","","1",""
"750","","","","","","","","symmetry-judgement-task","202","187223","1681330842510","0.0-8.0-0.9-1.30","","1",""
"1146","","","","","","","","symmetry-judgement-task","205","189438","1681330844725","0.0-8.0-0.9-1.31","","1",""
"853","","","","","","","","symmetry-judgement-task","208","191359","1681330846646","0.0-8.0-0.9-1.32","","1",""
"3067","9_1_10_2_3","9_1_2_14_3","2:1_0:1_0:2_3:2_0:3","","5","","","spatial-span-recall","210","194429","1681330849716","0.0-8.0-1.9","","","3"
"873","","","","","","","","symmetry-judgement-task","213","197030","1681330852317","0.0-8.0-0.10-1.33","","1",""
"825","","","","","","","","symmetry-judgement-task","216","198918","1681330854205","0.0-8.0-0.10-1.34","","1",""
"561","","","","","","","","symmetry-judgement-task","219","200543","1681330855830","0.0-8.0-0.10-1.35","","0",""
"724","","","","","","","","symmetry-judgement-task","222","202334","1681330857621","0.0-8.0-0.10-1.36","","1",""
"2680","3_4_15_13","3_8_15_13","0:3_2:0_3:3_3:1","","4","","","spatial-span-recall","224","205019","1681330860306","0.0-8.0-1.10","","","3"
"702","","","","","","","","symmetry-judgement-task","227","207742","1681330863029","0.0-8.0-0.11-1.37","","1",""
"869","","","","","","","","symmetry-judgement-task","230","209679","1681330864966","0.0-8.0-0.11-1.38","","1",""
"829","","","","","","","","symmetry-judgement-task","233","211574","1681330866861","0.0-8.0-0.11-1.39","","1",""
"766","","","","","","","","symmetry-judgement-task","236","213406","1681330868693","0.0-8.0-0.11-1.40","","1",""
"805","","","","","","","","symmetry-judgement-task","239","215278","1681330870565","0.0-8.0-0.11-1.41","","1",""
"21779","7_1_2_6_10","7_1_3_4_6","1:3_0:1_0:3_1:0_1:2","","5","","","spatial-span-recall","241","237061","1681330892348","0.0-8.0-1.11","","","2"
